latitude,longitude,occurance
33.359069008115185,-110.79618697162567,1
32.80648743731366,-110.53944563414954,0
31.434266046114086,-110.80682558342137,0
32.92580322519681,-111.44786697431445,1
32.68435862467771,-110.74247222113476,1
32.32202622790143,-111.45567786582743,1
33.23757143169451,-110.43876368672888,1
32.59818009517014,-111.1266008387453,1
33.18077451738577,-111.57514663467248,1
32.47138827672765,-111.67822653013482,1
33.10086353166268,-110.52386696605222,1
32.92909621690052,-111.49686371377832,1
31.718236965509583,-110.755751537769,0
33.76685150911228,-110.11083662050086,1
32.60304411099736,-111.42897710402757,0
32.41687468305543,-110.34765209940676,1
32.35039912340779,-111.88640380806028,0
31.561751336755357,-110.95111293419284,1
32.63288793593317,-111.73388422696122,1
32.32493834416723,-111.31197516715142,1
33.31192560137078,-111.58700343550161,0
33.78892115816795,-111.25919590727757,0
32.4903607189003,-111.53365384652406,0
33.8433227505487,-110.72061327287166,1
33.01598236752649,-110.25359874900408,0
32.73789362644259,-111.73914593801179,1
31.491560318154544,-111.43839492812455,1
31.682077426999644,-111.90061404574298,1
32.2165870772404,-110.57243990147464,0
32.86956450294404,-111.20002430730004,0
32.79363238793727,-110.27695809529642,1
33.37870618922709,-111.87681831300824,0
32.80849294604616,-110.71509625774013,0
33.680264891840686,-110.52253950965861,1
31.473037978459217,-110.24862610779952,1
33.383427002958896,-111.86595652726282,0
31.040274497214142,-111.83323967857025,1
32.33534101689284,-111.70495652492899,1
32.83010576262282,-111.24627914663554,1
33.60518508879373,-111.90493439790019,0
33.91331823430432,-110.60190683829899,0
31.2689081200397,-110.202853248532,1
31.815693988361794,-111.2390954581993,0
31.433287413081413,-111.60088170614144,1
33.24917252768691,-111.38723189817523,0
31.929328387663844,-111.65812175893056,1
32.74748640187518,-111.4698001527435,0
31.802476598662686,-110.73070050440391,1
32.77981154132411,-111.47134323558761,0
31.876594915244482,-110.44019073836138,0
31.829933166037133,-111.04363801309744,1
32.40716833844468,-111.71423562885768,1
31.093862750572047,-110.22873031348834,1
33.9395592820803,-111.686171614169,1
33.701596936664565,-111.21889222747565,0
33.80384535849884,-111.8230408012636,1
32.42907518416391,-111.59543500418961,0
32.599830037849266,-110.46844282895327,0
32.60948649265774,-111.00146199270527,0
32.57309789388639,-110.51016764336433,0
31.28011747009476,-110.62784152375872,1
33.70694498422052,-111.96689206295237,1
32.11778640651055,-111.89254054758851,0
33.08798832046419,-111.97768374474374,0
33.84012066232745,-110.50116807290966,0
31.451276246286305,-111.34531636816092,1
31.92998566790156,-110.77791615468155,0
31.987746199904716,-110.6274390032167,0
31.305685225547982,-110.3347411318942,0
31.67698244691131,-110.04672070375081,1
33.626715916676254,-111.40459291766325,1
32.45581938722231,-111.10314366519923,0
31.74583293980141,-111.24845676622448,1
31.55718796031973,-111.69230516299893,0
32.84731342007864,-110.23336146560624,0
32.65094318857986,-111.84223657128167,0
32.112419196237546,-110.22678404603471,1
31.745032440837097,-111.38720669883656,0
33.69018650138235,-111.1594797762565,0
32.541819380568015,-111.70838326509926,1
32.07767439276417,-110.69579409687942,0
32.934511733489444,-111.66954618609715,0
31.344793922259885,-111.84208952731301,0
31.43965554867686,-111.49670381377823,1
32.39810748105788,-111.8638349873537,1
31.377878673263442,-110.29667149962263,1
31.91092676966473,-111.03570725993599,0
31.564718776360028,-111.8124593623177,0
32.153716598397104,-110.12125625917812,1
32.60900773963729,-110.57182057855424,0
31.667429643828125,-110.29448720673192,0
33.317681248581444,-110.08889624717709,0
32.33093278105168,-111.85410336419352,1
32.66156414675604,-111.80693444190756,1
31.04558469212853,-110.09213840103588,1
32.010469004520736,-110.19001063603771,1
33.479729823530555,-110.52306950755309,0
32.54783332396078,-110.39244933826801,0
32.709314386487236,-111.89908246104258,1
31.42886448362332,-110.95308550994699,0
